name,score_rank,popularity_rank,members,year,season,episodes,studio,source,genres,score,ave_main_cast_favorites
Tamayura: Hitotose,#2351,#2709,40224,2011,fall,12.0,TYO Animations,Original,"['Slice of Life', 'Comedy', 'Drama']",7.31,3887.0
Another,#1544,#48,1344318,2012,winter,12.0,P.A. Works,Light novel,"['Mystery', 'Horror', 'Supernatural', 'Thriller', 'School']",7.52,713.5
High School DxD,#2051,#78,1124829,2012,winter,12.0,TNK,Light novel,"['Harem', 'Comedy', 'Demons', 'Romance', 'Ecchi', 'School']",7.37,14864.0
Danshi Koukousei no Nichijou,#258,#190,654069,2012,winter,12.0,Sunrise,Web manga,"['Slice of Life', 'Comedy', 'School']",8.26,16392.333333333332
Nisemonogatari,#344,#212,620537,2012,winter,11.0,Shaft,Light novel,"['Mystery', 'Comedy', 'Supernatural', 'Ecchi']",8.17,29642.75
Inu x Boku SS,#1838,#351,432461,2012,winter,12.0,David Production,Manga,"['Comedy', 'Supernatural', 'Romance', 'Shounen']",7.43,13498.5
Zero no Tsukaima F,#1659,#443,353873,2012,winter,12.0,J.C.Staff,Light novel,"['Adventure', 'Ecchi', 'Fantasy', 'Magic', 'Romance']",7.49,20575.0
Ano Natsu de Matteru,#1732,#484,328642,2012,winter,12.0,J.C.Staff,Original,"['Comedy', 'Drama', 'Romance', 'Sci-Fi', 'Slice of Life']",7.46,5325.333333333333
Black★Rock Shooter (TV),#4390,#507,312934,2012,winter,8.0,Ordet,Other,"['Action', 'Drama', 'School', 'Slice of Life']",6.83,44270.5
Natsume Yuujinchou Shi,#54,#813,205810,2012,winter,13.0,Brain's Base,Manga,"['Slice of Life', 'Demons', 'Supernatural', 'Drama', 'Shoujo']",8.66,48285.0
Papa no Iukoto wo Kikinasai!,#2340,#973,169984,2012,winter,12.0,feel.,Light novel,"['Comedy', 'Romance', 'Slice of Life']",7.31,3246.5
Amagami SS+ Plus,#1873,#1168,141632,2012,winter,13.0,AIC,Visual novel,"['Slice of Life', 'Comedy', 'Romance', 'School']",7.42,2079.0
Brave 10,#4615,#1222,134554,2012,winter,12.0,TMS Entertainment,Manga,"['Action', 'Adventure', 'Historical', 'Super Power', 'Samurai', 'Seinen']",6.78,22236.0
Kill Me Baby,#4294,#1503,102379,2012,winter,13.0,J.C.Staff,4-koma manga,"['Comedy', 'School', 'Seinen']",6.86,565.6666666666666
Senki Zesshou Symphogear,#3646,#1536,100134,2012,winter,13.0,Satelight,Original,"['Action', 'Sci-Fi', 'Music']",7.02,12374.333333333334
Aquarion Evol,#3227,#1583,96797,2012,winter,26.0,Satelight,Original,"['Action', 'Comedy', 'Drama', 'Fantasy', 'Mecha', 'Romance', 'Sci-Fi']",7.11,47651.5
Mouretsu Pirates,#2988,#2007,67523,2012,winter,26.0,Satelight,Light novel,"['Sci-Fi', 'Space']",7.16,36993.333333333336
Rinne no Lagrange,#4072,#2112,62853,2012,winter,12.0,Xebec,Original,"['Action', 'Sci-Fi', 'Comedy', 'Mecha']",6.91,9839.666666666666
Area no Kishi,#2769,#2113,62766,2012,winter,37.0,Shin-Ei Animation,Manga,"['Comedy', 'School', 'Shounen', 'Sports']",7.21,2831.0
Shin Tennis no Ouji-sama,#1453,#2365,52277,2012,winter,13.0,Production I.G,Manga,"['Action', 'Comedy', 'Sports', 'Shounen']",7.55,2627.555555555556
Recorder to Randoseru Do♪,#5081,#2493,47380,2012,winter,13.0,Seven,4-koma manga,"['Comedy', 'School', 'Seinen', 'Slice of Life']",6.68,19966.5
Smile Precure!,#4989,#3090,31719,2012,winter,48.0,Toei Animation,Original,"['Action', 'Magic', 'Fantasy', 'Shoujo']",6.7,2073.5
Hyouka,#402,#82,1065503,2012,spring,22.0,Kyoto Animation,Novel,"['Mystery', 'School', 'Slice of Life']",8.12,13155.75
Kuroko no Basket,#411,#105,921269,2012,spring,25.0,Production I.G,Manga,"['Comedy', 'Sports', 'School', 'Shounen']",8.11,4124.0
Fate/Zero 2nd Season,#76,#110,893493,2012,spring,12.0,ufotable,Light novel,"['Action', 'Supernatural', 'Magic', 'Fantasy']",8.58,4615.2
Accel World,#2462,#202,628796,2012,spring,24.0,Sunrise,Light novel,"['Action', 'Game', 'Sci-Fi', 'Romance', 'School']",7.28,18225.75
Sankarea,#2246,#298,503528,2012,spring,12.0,Studio Deen,Manga,"['Comedy', 'Ecchi', 'Horror', 'Romance', 'Shounen', 'Supernatural']",7.33,4948.0
Kore wa Zombie Desu ka? of the Dead,#1493,#468,337929,2012,spring,10.0,Studio Deen,Light novel,"['Action', 'Harem', 'Comedy', 'Supernatural', 'Magic', 'Ecchi']",7.54,4882.0
Tasogare Otome x Amnesia,#766,#469,337340,2012,spring,12.0,SILVER LINK.,Manga,"['Horror', 'Mystery', 'Romance', 'School', 'Shounen', 'Supernatural']",7.85,2839.5
Sakamichi no Apollon,#190,#508,310701,2012,spring,12.0,Tezuka Productions,Manga,"['Drama', 'Josei', 'Music', 'Romance', 'School']",8.34,4205.0
Haiyore! Nyaruko-san,#3575,#526,303810,2012,spring,12.0,Xebec,Light novel,"['Sci-Fi', 'Comedy', 'Parody']",7.04,12578.75
Jormungand,#791,#553,290142,2012,spring,12.0,White Fox,Manga,"['Action', 'Adventure', 'Seinen']",7.83,2787.5
Acchi Kocchi (TV),#1610,#601,270556,2012,spring,12.0,AIC,4-koma manga,"['Slice of Life', 'Comedy', 'Romance', 'School']",7.5,8573.0
Nazo no Kanojo X,#2640,#736,227493,2012,spring,13.0,Hoods Entertainment,Manga,"['Romance', 'School', 'Seinen']",7.24,2072.5
Medaka Box,#3514,#778,214359,2012,spring,12.0,Gainax,Manga,"['Action', 'Comedy', 'Ecchi', 'Martial Arts', 'School', 'Shounen', 'Super Power']",7.05,9796.6
Uchuu Kyoudai,#106,#1022,161024,2012,spring,99.0,A-1 Pictures,Manga,"['Comedy', 'Sci-Fi', 'Seinen', 'Slice of Life', 'Space']",8.51,17467.0
Tsuritama,#1084,#1109,149772,2012,spring,12.0,A-1 Pictures,Original,"['Comedy', 'Sci-Fi', 'Slice of Life', 'Sports']",7.69,14907.0
Zetman,#4247,#1366,116396,2012,spring,13.0,TMS Entertainment,Manga,"['Action', 'Drama', 'Horror', 'Romance', 'Sci-Fi', 'Seinen', 'Supernatural']",6.87,48124.5
Hiiro no Kakera,#4917,#1544,99369,2012,spring,13.0,Studio Deen,Visual novel,"['Fantasy', 'Romance', 'Shoujo', 'Supernatural']",6.72,9178.166666666666
Eureka Seven AO,#5109,#1708,86850,2012,spring,24.0,Bones,Manga,"['Action', 'Adventure', 'Drama', 'Mecha', 'Sci-Fi']",6.68,767.75
Shirokuma Cafe,#659,#1813,79843,2012,spring,50.0,Studio Pierrot,Manga,"['Slice of Life', 'Comedy', 'Josei']",7.92,37498.25
Kimi to Boku. 2,#606,#1857,76977,2012,spring,13.0,J.C.Staff,Manga,"['Comedy', 'Drama', 'Romance', 'School', 'Shounen', 'Slice of Life']",7.96,4752.2
Naruto SD: Rock Lee no Seishun Full-Power Ninden,#3092,#1898,74040,2012,spring,51.0,Studio Pierrot,Manga,"['Action', 'Comedy', 'Parody']",7.14,1826.0
AKB0048,#2042,#2273,55824,2012,spring,13.0,Satelight,Original,"['Music', 'Sci-Fi']",7.37,65.0
Lupin the Third: Mine Fujiko to Iu Onna,#899,#2387,51245,2012,spring,13.0,TMS Entertainment,Manga,"['Action', 'Adventure', 'Comedy', 'Ecchi', 'Samurai', 'Seinen']",7.77,18313.5
Phi Brain: Kami no Puzzle - Orpheus Order-hen,#2421,#2574,44453,2012,spring,25.0,Sunrise,Original,"['Action', 'Game', 'Mystery', 'Shounen']",7.29,23133.666666666668
Inazuma Eleven Go: Chrono Stone,#2950,#2612,43560,2012,spring,51.0,OLM,Game,"['Sports', 'Super Power', 'Shounen']",7.17,327.5
Saint Seiya Omega,#7237,#2641,42227,2012,spring,97.0,Toei Animation,Manga,"['Action', 'Adventure', 'Fantasy', 'Shounen']",6.26,4850.285714285715
Shining Hearts: Shiawase no Pan,#7845,#2740,39303,2012,spring,12.0,Production I.G,Game,"['Action', 'Fantasy']",6.14,24333.5
Natsu-iro Kiseki,#3640,#2748,39149,2012,spring,12.0,Sunrise,Original,"['School', 'Slice of Life', 'Supernatural']",7.02,7021.25
Queen's Blade: Rebellion,#7032,#2867,36417,2012,spring,12.0,Arms,Other,"['Action', 'Adventure', 'Ecchi', 'Fantasy']",6.3,3058.0
Saki Achiga-hen: Episode of Side-A,#2269,#3063,32280,2012,spring,12.0,Studio Gokumi,Manga,"['Game', 'School', 'Slice of Life']",7.32,21813.83333333333
Sword Art Online,#2810,#4,2464491,2012,summer,25.0,A-1 Pictures,Light novel,"['Action', 'Game', 'Adventure', 'Romance', 'Fantasy']",7.21,19598.666666666668
Kokoro Connect,#854,#163,694607,2012,summer,13.0,SILVER LINK.,Light novel,"['Slice of Life', 'Comedy', 'Supernatural', 'Drama', 'Romance', 'School']",7.8,9315.2
"Dakara Boku wa, H ga Dekinai.",#5443,#445,352646,2012,summer,12.0,feel.,Light novel,"['Comedy', 'Supernatural', 'Romance', 'Ecchi']",6.61,2423.0
Hagure Yuusha no Aesthetica,#4374,#458,345282,2012,summer,12.0,Arms,Light novel,"['Action', 'Super Power', 'Ecchi', 'Fantasy']",6.84,30628.6
Campione!: Matsurowanu Kamigami to Kamigoroshi no Maou,#3732,#485,328389,2012,summer,13.0,Diomedéa,Light novel,"['Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Magic', 'Romance']",7.0,28912.6
Oda Nobuna no Yabou,#1846,#643,255600,2012,summer,12.0,Madhouse,Light novel,"['Comedy', 'Historical', 'Romance']",7.43,4563.0
Binbougami ga!,#1007,#818,203961,2012,summer,13.0,Sunrise,Manga,"['Comedy', 'Parody', 'Shounen', 'Supernatural']",7.71,46598.0
Koi to Senkyo to Chocolate,#3509,#824,201864,2012,summer,12.0,AIC Build,Visual novel,"['Drama', 'Romance', 'School']",7.05,5620.2
"Kono Naka ni Hitori, Imouto ga Iru!",#5652,#916,182529,2012,summer,12.0,Studio Gokumi,Light novel,"['Comedy', 'Ecchi', 'Harem', 'Mystery', 'Romance', 'School']",6.57,8173.0
Arcana Famiglia,#7180,#924,180899,2012,summer,12.0,J.C.Staff,Visual novel,"['Action', 'Harem', 'Supernatural', 'Romance', 'Shoujo']",6.27,13910.75
Jinrui wa Suitai Shimashita,#896,#998,165572,2012,summer,12.0,AIC ASTA,Light novel,"['Adventure', 'Comedy', 'Fantasy']",7.77,3782.0
Yuru Yuri♪♪,#774,#1046,157526,2012,summer,12.0,Doga Kobo,Manga,"['Slice of Life', 'Comedy', 'School', 'Shoujo Ai']",7.84,608.75
Kingdom,#535,#1115,149331,2012,summer,38.0,Studio Pierrot,Manga,"['Action', 'Historical', 'Military', 'Seinen']",8.01,21291.25
Tari Tari,#2352,#1181,139753,2012,summer,13.0,P.A. Works,Original,"['Music', 'Slice of Life', 'School']",7.31,13127.6
Joshiraku,#1640,#1218,134962,2012,summer,13.0,J.C.Staff,Manga,"['Slice of Life', 'Comedy', 'Shounen']",7.49,3446.2
Dog Days',#3467,#1639,92736,2012,summer,13.0,Seven Arcs,Original,"['Action', 'Adventure', 'Magic', 'Fantasy']",7.06,20461.42857142857
Muv-Luv Alternative: Total Eclipse,#3255,#1758,83472,2012,summer,24.0,Satelight,Visual novel,"['Action', 'Military', 'Sci-Fi', 'Mecha']",7.11,13686.25
Kyoukaisenjou no Horizon II,#1518,#1889,74503,2012,summer,13.0,Sunrise,Light novel,"['Action', 'Fantasy', 'Sci-Fi']",7.53,25489.8
Natsuyuki Rendezvous,#2443,#1946,70467,2012,summer,11.0,Doga Kobo,Manga,"['Supernatural', 'Drama', 'Romance', 'Josei']",7.28,20634.666666666668
Pokemon Best Wishes! Season 2,#6544,#2371,51997,2012,summer,24.0,OLM,Game,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Kids']",6.4,21270.4
Hakuouki Reimeiroku,#1745,#2394,51025,2012,summer,12.0,Studio Deen,Visual novel,"['Action', 'Historical', 'Supernatural', 'Drama', 'Samurai', 'Josei']",7.46,3076.0
Psycho-Pass,#176,#50,1327604,2012,fall,22.0,Production I.G,Original,"['Action', 'Sci-Fi', 'Police', 'Psychological', 'Thriller']",8.36,40106.333333333336
JoJo no Kimyou na Bouken (TV),#580,#75,1152619,2012,fall,26.0,David Production,Manga,"['Action', 'Adventure', 'Supernatural', 'Vampire', 'Shounen']",7.98,9861.42857142857
Chuunibyou demo Koi ga Shitai!,#962,#80,1076243,2012,fall,12.0,Kyoto Animation,Light novel,"['Slice of Life', 'Comedy', 'Drama', 'Romance', 'School']",7.74,9668.2
Sakura-sou no Pet na Kanojo,#372,#90,1020584,2012,fall,24.0,J.C.Staff,Light novel,"['Slice of Life', 'Comedy', 'Drama', 'Romance', 'School']",8.15,15755.166666666666
Tonari no Kaibutsu-kun,#1537,#116,850550,2012,fall,13.0,Brain's Base,Manga,"['Slice of Life', 'Comedy', 'Romance', 'School', 'Shoujo']",7.52,11117.0
Magi: The Labyrinth of Magic,#486,#117,847447,2012,fall,25.0,A-1 Pictures,Manga,"['Action', 'Adventure', 'Fantasy', 'Magic', 'Shounen']",8.05,26216.33333333333
Btooom!,#2132,#154,727610,2012,fall,12.0,Madhouse,Manga,"['Action', 'Sci-Fi', 'Psychological', 'Seinen']",7.35,1616.0
Shinsekai yori,#208,#185,659254,2012,fall,25.0,A-1 Pictures,Novel,"['Drama', 'Horror', 'Mystery', 'Psychological', 'Sci-Fi', 'Supernatural']",8.33,31147.2
K,#1681,#193,646253,2012,fall,13.0,GoHands,Original,"['Action', 'Mystery', 'Super Power', 'Supernatural']",7.48,23188.2
Sukitte Ii na yo.,#1723,#267,531234,2012,fall,13.0,Zexcs,Manga,"['Drama', 'Romance', 'School', 'Shoujo']",7.46,22880.0
Zetsuen no Tempest,#602,#288,511699,2012,fall,24.0,Bones,Manga,"['Action', 'Mystery', 'Psychological', 'Drama', 'Magic', 'Fantasy', 'Shounen']",7.96,35453.25
Kamisama Hajimemashita,#483,#307,494146,2012,fall,13.0,TMS Entertainment,Manga,"['Comedy', 'Demons', 'Supernatural', 'Romance', 'Fantasy', 'Shoujo']",8.05,2176.5
Nekomonogatari: Kuro,#599,#337,457876,2012,fall,4.0,Shaft,Light novel,"['Comedy', 'Supernatural', 'Romance', 'Ecchi']",7.96,54142.0
To LOVE-Ru Darkness,#1710,#515,307571,2012,fall,12.0,Xebec,Manga,"['Comedy', 'Ecchi', 'Harem', 'Romance', 'School', 'Sci-Fi', 'Shounen']",7.47,3403.25
Bakuman. 3rd Season,#82,#567,284505,2012,fall,25.0,J.C.Staff,Manga,"['Comedy', 'Drama', 'Romance', 'Shounen']",8.56,1649.5
Code:Breaker,#4651,#589,276146,2012,fall,13.0,Kinema Citrus,Manga,"['Action', 'Comedy', 'Super Power', 'Supernatural', 'School', 'Shounen']",6.77,25602.0
Oniichan dakedo Ai sae Areba Kankeinai yo ne!,#6081,#648,254676,2012,fall,12.0,SILVER LINK.,Light novel,"['Comedy', 'Ecchi', 'Harem', 'Romance', 'School']",6.49,2767.0
Little Busters!,#1587,#659,251202,2012,fall,26.0,J.C.Staff,Visual novel,"['Slice of Life', 'Comedy', 'Supernatural', 'Drama', 'School']",7.51,1989.4
Gintama': Enchousen,#9,#673,246500,2012,fall,13.0,Sunrise,Manga,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",9.04,26888.666666666668
Girls & Panzer,#1505,#679,244162,2012,fall,12.0,Actas,Original,"['Action', 'Military', 'Sports', 'School']",7.53,5322.2
Robotics;Notes,#2178,#1014,163133,2012,fall,22.0,Production I.G,Visual novel,"['Sci-Fi', 'Mystery', 'Drama', 'Mecha', 'School']",7.34,9227.5
Jormungand: Perfect Order,#673,#1032,160166,2012,fall,12.0,White Fox,Manga,"['Action', 'Adventure', 'Seinen']",7.92,2882.5
Medaka Box Abnormal,#1843,#1306,123582,2012,fall,12.0,Gainax,Manga,"['Action', 'Comedy', 'Ecchi', 'Martial Arts', 'School', 'Shounen', 'Super Power']",7.43,13285.8
Initial D Fifth Stage,#458,#1483,103622,2012,fall,14.0,SynergySP,Manga,"['Action', 'Cars', 'Drama', 'Seinen', 'Sports']",8.07,12520.333333333334
Ixion Saga DT,#2878,#1552,98894,2012,fall,25.0,Brain's Base,Game,"['Action', 'Comedy', 'Fantasy']",7.19,29603.0
Teekyuu,#5569,#2236,56991,2012,fall,12.0,MAPPA,Manga,"['Comedy', 'School', 'Shounen', 'Sports']",6.59,23927.0
Hayate no Gotoku! Can't Take My Eyes Off You,#3577,#2453,48826,2012,fall,12.0,Manglobe,Manga,"['Comedy', 'Harem', 'Parody', 'Shounen']",7.04,11213.5
Hiiro no Kakera Dai Ni Shou,#2850,#2505,46897,2012,fall,13.0,Studio Deen,Visual novel,"['Fantasy', 'Romance', 'Shoujo', 'Supernatural']",7.2,9178.166666666666
Aikatsu!,#1973,#2906,35279,2012,fall,178.0,Sunrise,Original,"['Music', 'School', 'Shoujo', 'Slice of Life']",7.39,859.8
Busou Shinki,#6983,#2955,34364,2012,fall,12.0,8bit,Other,"['Action', 'Sci-Fi', 'Slice of Life', 'Mecha']",6.31,1694.0
Yu☆Gi☆Oh! Zexal Second,#4361,#3130,30892,2012,fall,73.0,Gallop,Manga,"['Action', 'Game', 'Fantasy', 'Shounen']",6.84,3605.0
Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?,#1526,#308,493041,2013,winter,10.0,Diomedéa,Light novel,"['Action', 'Comedy', 'Fantasy', 'Supernatural']",7.52,801.0
Boku wa Tomodachi ga Sukunai Next,#2110,#338,456345,2013,winter,12.0,AIC Build,Light novel,"['Harem', 'Slice of Life', 'Comedy', 'Romance', 'School']",7.36,3771.25
Ore no Kanojo to Osananajimi ga Shuraba Sugiru,#3704,#345,446680,2013,winter,13.0,A-1 Pictures,Light novel,"['Comedy', 'Harem', 'Romance', 'School']",7.01,6647.0
Maoyuu Maou Yuusha,#2485,#397,388190,2013,winter,12.0,Arms,Light novel,"['Adventure', 'Demons', 'Romance', 'Fantasy']",7.28,19143.0
